experiment,T_K,kT_over_lambda,E_per_site_eV,alpha_In_Cu,R_CuIn,mean_dQ2,acc_rate,max_cluster,mean_cluster
full,3000.0,0.8617333262000001,0.026476486486737887,-6.135416666666666,7.135416666666667,0.097,0.21058466666666667,41,3.5555555555555554
full,2400.0,0.6893866609600001,-0.0012775280334800302,-21.708333333333332,22.708333333333336,0.023,0.035653,155,26.666666666666668
full,2000.0,0.5744888841333333,-0.0027276262427551145,-22.333333333333332,23.333333333333336,0.019,0.00904425,154,22.857142857142858
full,1600.0,0.45959110730666664,-0.004913442726040717,-23.322916666666664,24.322916666666668,0.013,0.0012405,160,160.0
full,1300.0,0.3734177746866667,-0.005263246307490387,-23.427083333333332,24.427083333333336,0.012,0.00011391666666666667,160,160.0
full,1100.0,0.31596888627333336,-0.005263524085268165,-23.427083333333332,24.427083333333336,0.012,2.0833333333333333e-05,160,160.0
full,950.0,0.27288221996333334,-0.005275746307490388,-23.479166666666664,24.479166666666668,0.012,1.4916666666666667e-05,160,160.0
full,850.0,0.24415777575666667,-0.005275566738987774,-23.479166666666664,24.479166666666668,0.012,1.8833333333333335e-05,160,160.0
full,773.0,0.22203995371753332,-0.005263524085268166,-23.427083333333332,24.427083333333336,0.012,1.2833333333333333e-05,160,160.0
full,700.0,0.20107110944666667,-0.005275566738987775,-23.479166666666664,24.479166666666668,0.012,1.3333333333333333e-05,160,160.0
full,640.0,0.18383644292266668,-0.005263425875993002,-23.427083333333332,24.427083333333336,0.012,1.475e-05,160,160.0
full,573.0,0.1645910653042,-0.005275566738987775,-23.479166666666664,24.479166666666668,0.012,1.1083333333333333e-05,160,160.0
full,500.0,0.14362222103333333,-0.005263246307490388,-23.427083333333332,24.427083333333336,0.012,1.1e-05,160,160.0
full,450.0,0.12925999893,-0.005275746307490389,-23.479166666666664,24.479166666666668,0.012,1.2333333333333333e-05,160,160.0
full,400.0,0.11489777682666666,-0.005275746307490389,-23.479166666666664,24.479166666666668,0.012,1.0083333333333334e-05,160,160.0
full,373.0,0.10714217689086668,-0.005275925875993002,-23.479166666666664,24.479166666666668,0.012,1.1e-05,160,160.0
full,320.0,0.09191822146133334,-0.005275468529712611,-23.479166666666664,24.479166666666668,0.012,1.1583333333333333e-05,160,160.0
electrostatic_only,3000.0,0.8617333262000001,0.033962350629158006,-4.416666666666667,5.416666666666667,0.111,0.30693058333333334,14,2.6666666666666665
electrostatic_only,2400.0,0.6893866609600001,0.02751488722026789,-6.8125,7.8125,0.0895,0.17368291666666666,36,4.2105263157894735
electrostatic_only,2000.0,0.5744888841333333,0.004874497770197391,-14.3125,15.3125,0.014,0.026078833333333332,156,32.0
electrostatic_only,1600.0,0.45959110730666664,0.0027746941887477226,-14.937499999999998,15.9375,0.007,0.0028730833333333334,160,160.0
